x1,x2,y_clybrkcm
14.5588,686.869,0.977953
14.4775,690.728,0.975476
14.397,694.587,0.976188
14.3175,698.446,0.979524
14.2388,702.305,0.979622
14.161,706.164,0.979824
14.0841,710.022,0.977683
14.0079,713.881,0.981619
13.9326,717.74,0.982274
13.8581,721.599,0.976457
13.7844,725.458,0.978155
13.7115,729.316,0.97601
13.6393,733.175,0.97668
13.5679,737.034,0.974822
13.4972,740.893,0.976827
13.4273,744.752,0.976171
13.3581,748.611,0.97523
13.2896,752.469,0.975928
13.2218,756.328,0.974577
13.1546,760.187,0.974034
13.0882,764.046,0.976637
13.0224,767.905,0.974112
12.9573,771.763,0.974911
12.8929,775.622,0.97285
12.829,779.481,0.975897
12.7658,783.34,0.975065
12.7033,787.199,0.976157
12.6413,791.058,0.977966
12.5799,794.916,0.978525
12.5192,798.775,0.978156
12.459,802.634,0.980054
12.3994,806.493,0.982834
12.3403,810.352,0.98232
12.2818,814.21,0.980358
12.2239,818.069,0.97973
12.1665,821.928,0.981629
12.1097,825.787,0.978951
12.0533,829.646,0.978042
11.9975,833.505,0.975561
11.9422,837.363,0.975251
11.8875,841.222,0.97355
11.8332,845.081,0.972734
11.7794,848.94,0.97148
11.7261,852.799,0.968206
11.6733,856.657,0.967879
11.6209,860.516,0.968846
11.569,864.375,0.96446
11.5176,868.234,0.963436
11.4667,872.093,0.964266
11.4161,875.952,0.962651
11.3661,879.81,0.961345
11.3164,883.669,0.961001
11.2672,887.528,0.95957
11.2185,891.387,0.958893
11.1701,895.246,0.955853
11.1222,899.104,0.955428
11.0746,902.963,0.953521
11.0275,906.822,0.952641
10.9808,910.681,0.95083
10.9345,914.54,0.948826
10.8885,918.399,0.947215
10.8429,922.257,0.945744
10.7978,926.116,0.945946
10.753,929.975,0.944259
10.7085,933.834,0.941088
10.6645,937.693,0.942166
10.6208,941.551,0.939446
10.5774,945.41,0.939083
10.5344,949.269,0.94015
10.4918,953.128,0.93996
10.4495,956.987,0.938996
10.4075,960.846,0.937668
10.3659,964.704,0.937481
10.3246,968.563,0.938478
10.2836,972.422,0.936911
10.2429,976.281,0.935836
10.2026,980.14,0.938578
10.1626,983.998,0.936973
