x1,x2,y_distd_wn
14.5623,686.702,0.959163
14.481,690.56,0.959794
14.4005,694.418,0.960436
14.321,698.276,0.961102
14.2423,702.133,0.961771
14.1645,705.991,0.96246
14.0875,709.849,0.963143
14.0113,713.707,0.963829
13.936,717.565,0.964528
13.8615,721.423,0.965265
13.7878,725.281,0.966039
13.7148,729.139,0.966838
13.6426,732.996,0.967651
13.5712,736.854,0.968476
13.5005,740.712,0.969304
13.4306,744.57,0.970144
13.3613,748.428,0.971004
13.2928,752.286,0.971873
13.225,756.144,0.972755
13.1579,760.001,0.973628
13.0914,763.859,0.974483
13.0256,767.717,0.975321
12.9605,771.575,0.976145
12.896,775.433,0.976951
12.8322,779.291,0.977748
12.769,783.149,0.978539
12.7064,787.006,0.979331
12.6444,790.864,0.980124
12.583,794.722,0.980921
12.5222,798.58,0.98172
12.462,802.438,0.982524
12.4024,806.296,0.983328
12.3433,810.154,0.984135
12.2848,814.012,0.984925
12.2269,817.869,0.985691
12.1695,821.727,0.986433
12.1126,825.585,0.987139
12.0563,829.443,0.987814
12.0005,833.301,0.988435
11.9452,837.159,0.989008
11.8904,841.017,0.989537
11.8361,844.874,0.990012
11.7823,848.732,0.990434
11.729,852.59,0.990818
11.6761,856.448,0.991163
11.6238,860.306,0.991468
11.5719,864.164,0.991731
11.5204,868.022,0.991968
11.4695,871.879,0.992177
11.4189,875.737,0.992354
11.3689,879.595,0.992513
11.3192,883.453,0.992642
11.27,887.311,0.99275
11.2212,891.169,0.992838
11.1728,895.027,0.992897
11.1249,898.885,0.992937
11.0773,902.742,0.992951
11.0302,906.6,0.99295
10.9835,910.458,0.992923
10.9371,914.316,0.992887
10.8912,918.174,0.992831
10.8456,922.032,0.992768
10.8004,925.89,0.99269
10.7556,929.747,0.992601
10.7112,933.605,0.992502
10.6671,937.463,0.992397
10.6234,941.321,0.99228
10.58,945.179,0.99216
10.537,949.037,0.992031
10.4943,952.895,0.9919
10.452,956.752,0.991752
10.41,960.61,0.991605
10.3684,964.468,0.991453
10.3271,968.326,0.991288
10.2861,972.184,0.991124
10.2455,976.042,0.990954
10.2051,979.9,0.990783
10.1651,983.758,0.990603
10.1254,987.615,0.990424
10.086,991.473,0.990237
10.0469,995.331,0.990044
10.0081,999.189,0.98985
9.96962,1003.05,0.989667
9.93142,1006.9,0.989494
9.89352,1010.76,0.989333
9.8559,1014.62,0.98919
9.81857,1018.48,0.989053
9.78152,1022.34,0.988931
9.74474,1026.19,0.988926
9.70825,1030.05,0.988984
9.67202,1033.91,0.989057
9.63607,1037.77,0.989088
9.60038,1041.62,0.989029
9.56495,1045.48,0.988838
9.52979,1049.34,0.988557
9.49488,1053.2,0.988238
9.46023,1057.06,0.987926
9.42583,1060.91,0.987675
9.39167,1064.77,0.987509
9.35777,1068.63,0.98739
9.32411,1072.49,0.987272
9.29069,1076.35,0.987155
9.25751,1080.2,0.987051
9.22456,1084.06,0.986943
9.19185,1087.92,0.986844
9.15937,1091.78,0.986748
9.12712,1095.63,0.986649
9.0951,1099.49,0.986555
9.06329,1103.35,0.986459
9.03172,1107.21,0.986363
9.00036,1111.07,0.986271
8.96921,1114.92,0.986176
8.93828,1118.78,0.986073
8.90757,1122.64,0.985981
8.87706,1126.5,0.98588
8.84677,1130.36,0.985789
8.81667,1134.21,0.985698
8.78679,1138.07,0.985616
8.7571,1141.93,0.985532
8.72762,1145.79,0.985451
8.69833,1149.64,0.985375
8.66924,1153.5,0.985302
8.64034,1157.36,0.985221
8.61164,1161.22,0.985147
8.58312,1165.08,0.985069
8.55479,1168.93,0.984993
8.52665,1172.79,0.984909
8.4987,1176.65,0.984835
8.47092,1180.51,0.984757
8.44333,1184.37,0.984679
8.41592,1188.22,0.984609
8.38868,1192.08,0.984541
8.36162,1195.94,0.984473
8.33474,1199.8,0.984409
8.30802,1203.65,0.98435
8.28148,1207.51,0.984293
8.2551,1211.37,0.984229
8.2289,1215.23,0.984171
8.20286,1219.09,0.984115
8.17698,1222.94,0.984053
8.15127,1226.8,0.983997
8.12571,1230.66,0.983941
8.10032,1234.52,0.98388
8.07509,1238.38,0.983819
8.05001,1242.23,0.983764
8.02509,1246.09,0.983701
8.00032,1249.95,0.983641
7.9757,1253.81,0.983568
7.95124,1257.66,0.983502
7.92692,1261.52,0.98343
7.90275,1265.38,0.983358
7.87873,1269.24,0.983286
7.85486,1273.1,0.983224
7.83113,1276.95,0.983153
7.80754,1280.81,0.983082
7.78409,1284.67,0.983019
7.76079,1288.53,0.982981
7.73762,1292.39,0.982944
7.71459,1296.24,0.982899
7.6917,1300.1,0.982849
7.66894,1303.96,0.982785
7.64632,1307.82,0.982718
7.62383,1311.68,0.982643
7.60148,1315.53,0.982582
7.57925,1319.39,0.982538
7.55715,1323.25,0.982494
7.53518,1327.11,0.982459
7.51334,1330.96,0.982412
7.49163,1334.82,0.982358
7.47004,1338.68,0.982299
7.44857,1342.54,0.982228
7.42723,1346.4,0.982161
7.40601,1350.25,0.982104
7.38491,1354.11,0.982052
7.36393,1357.97,0.982015
7.34307,1361.83,0.981975
7.32233,1365.69,0.981934
7.3017,1369.54,0.981893
7.28119,1373.4,0.981843
7.26079,1377.26,0.981772
7.24051,1381.12,0.981711
7.22034,1384.97,0.98165
7.20029,1388.83,0.98159
7.18034,1392.69,0.98155
7.16051,1396.55,0.98151
7.14078,1400.41,0.981471
7.12116,1404.26,0.981431
7.10165,1408.12,0.981393
7.08225,1411.98,0.981345
7.06295,1415.84,0.981288
7.04376,1419.7,0.98123
7.02467,1423.55,0.981166
7.00569,1427.41,0.981099
6.9868,1431.27,0.981033
6.96802,1435.13,0.980961
6.94934,1438.98,0.980881
6.93076,1442.84,0.980797
6.91228,1446.7,0.980718
6.89389,1450.56,0.98065
6.87561,1454.42,0.980598
6.85742,1458.27,0.980553
6.83932,1462.13,0.980506
6.82133,1465.99,0.980443
6.80342,1469.85,0.980372
6.78561,1473.71,0.980287
6.76789,1477.56,0.980192
6.75027,1481.42,0.980094
6.73274,1485.28,0.980002
6.71529,1489.14,0.979912
6.69794,1492.99,0.979818
6.68068,1496.85,0.979724
6.66351,1500.71,0.979629
6.64642,1504.57,0.979542
6.62942,1508.43,0.979445
6.61251,1512.28,0.979347
6.59568,1516.14,0.979255
6.57894,1520.0,0.979163
6.56229,1523.86,0.97907
6.54572,1527.72,0.978973
6.52923,1531.57,0.97888
6.51282,1535.43,0.978786
6.4965,1539.29,0.978684
6.48026,1543.15,0.978571
6.4641,1547.0,0.978424
6.44802,1550.86,0.978272
6.43202,1554.72,0.978113
6.4161,1558.58,0.977946
6.40026,1562.44,0.977773
6.38449,1566.29,0.977596
6.36881,1570.15,0.977413
6.3532,1574.01,0.977219
6.33766,1577.87,0.977012
6.3222,1581.73,0.976796
6.30682,1585.58,0.976577
6.29151,1589.44,0.976334
6.27628,1593.3,0.976067
6.26112,1597.16,0.975787
