,x1,x2,y_oakface,y_clybrkcm,y_distd_wn,x2,y_sndpgaz1
599,3.33522,2998.3,0.972906,0.616606,,2998.3,0.840829
598,3.33952,2994.44,0.969277,0.624745,,2994.44,0.840267
597,3.34383,2990.58,0.973086,0.628873,,2990.58,0.845934
596,3.34815,2986.72,0.972659,0.627793,,2986.72,0.840304
595,3.35248,2982.86,0.972688,0.624667,,2982.86,0.837362
594,3.35682,2979.0,0.972608,0.615581,,2979.0,0.839593
593,3.36118,2975.15,0.97303,0.627033,,2975.15,0.840366
592,3.36554,2971.29,0.972172,0.621763,,2971.29,0.832018
591,3.36992,2967.43,0.975593,0.618593,,2967.43,0.836486
590,3.37431,2963.57,0.975956,0.623152,,2963.57,0.836226
589,3.37871,2959.71,0.97539,0.623884,,2959.71,0.83242
588,3.38312,2955.85,0.970869,0.610956,,2955.85,0.825449
587,3.38754,2951.99,0.968529,0.618019,,2951.99,0.82218
586,3.39197,2948.13,0.973836,0.60868,,2948.13,0.815365
585,3.39642,2944.28,0.974037,0.613218,,2944.28,0.817454
584,3.40088,2940.42,0.970301,0.616015,,2940.42,0.819402
583,3.40535,2936.56,0.973216,0.614052,,2936.56,0.812176
582,3.40983,2932.7,0.968711,0.619737,,2932.7,0.821615
581,3.41432,2928.84,0.969425,0.620779,,2928.84,0.816339
580,3.41882,2924.98,0.966722,0.62865,,2924.98,0.817195
579,3.42334,2921.12,0.963688,0.623483,,2921.12,0.814606
578,3.42787,2917.26,0.95146,0.609323,,2917.26,0.810631
577,3.43241,2913.4,0.949487,0.616087,,2913.4,0.813306
576,3.43696,2909.55,0.951861,0.606404,,2909.55,0.804021
575,3.44152,2905.69,0.955995,0.59895,,2905.69,0.794323
574,3.4461,2901.83,0.957925,0.59566,,2901.83,0.790939
573,3.45069,2897.97,0.962051,0.582732,,2897.97,0.786373
572,3.45529,2894.11,0.96212,0.586782,,2894.11,0.782751
571,3.4599,2890.25,0.960037,0.587143,,2890.25,0.785643
570,3.46453,2886.39,0.964687,0.581174,,2886.39,0.783458
569,3.46917,2882.53,0.963074,0.579363,,2882.53,0.779839
568,3.47382,2878.68,0.966577,0.579996,,2878.68,0.782372
567,3.47848,2874.82,0.968868,0.576247,,2874.82,0.772708
566,3.48316,2870.96,0.967292,0.578173,,2870.96,0.769852
565,3.48784,2867.1,0.967695,0.57508,,2867.1,0.764099
564,3.49254,2863.24,0.967737,0.570992,,2863.24,0.766957
563,3.49726,2859.38,0.965514,0.578028,,2859.38,0.767423
562,3.50198,2855.52,0.969908,0.583157,,2855.52,0.766853
561,3.50672,2851.66,0.961947,0.573124,,2851.66,0.76203
560,3.51147,2847.8,0.958326,0.569193,,2847.8,0.755152
559,3.51624,2843.95,0.958578,0.570039,,2843.95,0.755879
558,3.52102,2840.09,0.960361,0.556949,,2840.09,0.742146
557,3.52581,2836.23,0.956549,0.550391,,2836.23,0.740284
556,3.53061,2832.37,0.959184,0.551007,,2832.37,0.739103
555,3.53543,2828.51,0.961565,0.545205,,2828.51,0.730993
554,3.54026,2824.65,0.963088,0.545846,,2824.65,0.727364
553,3.5451,2820.79,0.964366,0.537824,,2820.79,0.728097
552,3.54996,2816.93,0.962679,0.54261,,2816.93,0.724261
551,3.55483,2813.08,0.965653,0.535084,,2813.08,0.72819
550,3.55971,2809.22,0.964721,0.537837,,2809.22,0.723236
549,3.56461,2805.36,0.965003,0.540164,,2805.36,0.722114
548,3.56952,2801.5,0.964335,0.536598,,2801.5,0.719109
547,3.57444,2797.64,0.9648,0.538106,,2797.64,0.726136
546,3.57938,2793.78,0.964189,0.543153,,2793.78,0.727536
545,3.58433,2789.92,0.963986,0.54674,,2789.92,0.723602
544,3.58929,2786.06,0.966072,0.540892,,2786.06,0.720942
543,3.59427,2782.21,0.967565,0.540826,,2782.21,0.720812
542,3.59926,2778.35,0.966928,0.53968,,2778.35,0.715027
541,3.60427,2774.49,0.966139,0.540124,,2774.49,0.719699
540,3.60929,2770.63,0.967473,0.542424,,2770.63,0.718726
539,3.61432,2766.77,0.968037,0.538793,,2766.77,0.712252
538,3.61937,2762.91,0.968175,0.531234,,2762.91,0.710486
537,3.62443,2759.05,0.969445,0.529994,,2759.05,0.707488
536,3.62951,2755.19,0.966555,0.532403,,2755.19,0.706665
535,3.6346,2751.33,0.966032,0.5287,,2751.33,0.709645
534,3.6397,2747.48,0.968412,0.527133,,2747.48,0.70351
533,3.64482,2743.62,0.968755,0.529249,,2743.62,0.702141
532,3.64995,2739.76,0.970371,0.530453,,2739.76,0.703504
531,3.6551,2735.9,0.964762,0.534466,,2735.9,0.705699
530,3.66027,2732.04,0.965892,0.531653,0.974703,2732.04,0.710034
529,3.66544,2728.18,0.965664,0.525966,0.974765,2728.18,0.703811
528,3.67063,2724.32,0.968696,0.527477,0.974827,2724.32,0.709377
527,3.67584,2720.46,0.968435,0.521157,0.97489,2720.46,0.712296
526,3.68106,2716.61,0.968742,0.522885,0.974952,2716.61,0.712082
525,3.6863,2712.75,0.966988,0.518449,0.975016,2712.75,0.711865
524,3.69155,2708.89,0.966608,0.52169,0.975079,2708.89,0.714373
523,3.69682,2705.03,0.966291,0.519798,0.975142,2705.03,0.716015
522,3.7021,2701.17,0.968713,0.519686,0.975204,2701.17,0.720406
521,3.70739,2697.31,0.966932,0.514449,0.975265,2697.31,0.721435
520,3.7127,2693.45,0.966011,0.517053,0.975326,2693.45,0.727778
519,3.71803,2689.59,0.969604,0.517875,0.975387,2689.59,0.733856
518,3.72337,2685.73,0.969265,0.518086,0.97545,2685.73,0.728859
517,3.72873,2681.88,0.966165,0.521127,0.975515,2681.88,0.734673
516,3.7341,2678.02,0.967743,0.520017,0.975579,2678.02,0.739165
515,3.73949,2674.16,0.966809,0.520647,0.975643,2674.16,0.736254
514,3.7449,2670.3,0.968802,0.520699,0.975703,2670.3,0.739962
513,3.75032,2666.44,0.97003,0.521655,0.975762,2666.44,0.741202
512,3.75575,2662.58,0.966822,0.52146,0.975822,2662.58,0.74235
511,3.7612,2658.72,0.965086,0.523158,0.975882,2658.72,0.742415
510,3.76667,2654.86,0.965551,0.522885,0.975943,2654.86,0.734543
509,3.77215,2651.01,0.964423,0.521792,0.976004,2651.01,0.7362
508,3.77765,2647.15,0.966312,0.522714,0.976064,2647.15,0.73237
507,3.78316,2643.29,0.966006,0.522902,0.976121,2643.29,0.730117
506,3.7887,2639.43,0.966297,0.518947,0.976176,2639.43,0.725563
505,3.79424,2635.57,0.963989,0.525144,0.976231,2635.57,0.728509
504,3.79981,2631.71,0.962331,0.517932,0.976286,2631.71,0.725781
503,3.80539,2627.85,0.96468,0.523615,0.976336,2627.85,0.725284
502,3.81098,2623.99,0.965273,0.522828,0.976387,2623.99,0.731481
501,3.8166,2620.13,0.96748,0.52384,0.976438,2620.13,0.733377
500,3.82222,2616.28,0.966004,0.518683,0.976485,2616.28,0.730674
499,3.82787,2612.42,0.96668,0.527912,0.97653,2612.42,0.738817
498,3.83353,2608.56,0.963603,0.526032,0.976575,2608.56,0.734663
497,3.83921,2604.7,0.963501,0.521496,0.97662,2604.7,0.739195
496,3.84491,2600.84,0.964456,0.520937,0.976663,2600.84,0.73977
495,3.85062,2596.98,0.962053,0.522361,0.976706,2596.98,0.744075
494,3.85635,2593.12,0.965602,0.523432,0.976749,2593.12,0.7481
493,3.8621,2589.26,0.967018,0.528523,0.976791,2589.26,0.74675
492,3.86786,2585.41,0.965416,0.525175,0.976831,2585.41,0.741444
491,3.87364,2581.55,0.962706,0.525797,0.976872,2581.55,0.742518
490,3.87944,2577.69,0.964323,0.525959,0.976912,2577.69,0.740887
489,3.88526,2573.83,0.965956,0.523781,0.97695,2573.83,0.739441
488,3.89109,2569.97,0.965815,0.519356,0.976988,2569.97,0.735435
487,3.89694,2566.11,0.9645,0.520061,0.977026,2566.11,0.733742
486,3.90281,2562.25,0.966904,0.525248,0.977066,2562.25,0.735553
485,3.9087,2558.39,0.96449,0.522163,0.977108,2558.39,0.732326
484,3.9146,2554.53,0.964964,0.525228,0.977149,2554.53,0.734828
483,3.92053,2550.68,0.965433,0.5237,0.97719,2550.68,0.737742
482,3.92647,2546.82,0.964617,0.525371,0.977232,2546.82,0.736958
481,3.93242,2542.96,0.965824,0.524837,0.977273,2542.96,0.74112
480,3.9384,2539.1,0.963692,0.529442,0.977315,2539.1,0.744445
479,3.9444,2535.24,0.962688,0.531554,0.977354,2535.24,0.7483
478,3.95041,2531.38,0.963365,0.5298,0.977393,2531.38,0.750567
477,3.95644,2527.52,0.964203,0.528373,0.977433,2527.52,0.755592
476,3.96249,2523.66,0.963964,0.530975,0.97747,2523.66,0.759346
475,3.96856,2519.81,0.962502,0.53235,0.977507,2519.81,0.762734
474,3.97464,2515.95,0.963577,0.526649,0.977543,2515.95,0.757232
473,3.98075,2512.09,0.965189,0.535226,0.977581,2512.09,0.765651
472,3.98687,2508.23,0.963096,0.538372,0.977621,2508.23,0.771152
471,3.99302,2504.37,0.961627,0.539838,0.977661,2504.37,0.770316
470,3.99918,2500.51,0.961688,0.536308,0.977701,2500.51,0.769072
469,4.00536,2496.65,0.9635,0.536643,0.977735,2496.65,0.765635
468,4.01156,2492.79,0.961516,0.537844,0.977769,2492.79,0.767733
467,4.01778,2488.94,0.963747,0.538265,0.977803,2488.94,0.768095
466,4.02402,2485.08,0.9636,0.534359,0.977839,2485.08,0.764331
465,4.03028,2481.22,0.962745,0.532653,0.977877,2481.22,0.763773
464,4.03655,2477.36,0.962553,0.536027,0.977915,2477.36,0.766336
463,4.04285,2473.5,0.962592,0.536138,0.977951,2473.5,0.769345
462,4.04917,2469.64,0.963316,0.537673,0.977985,2469.64,0.763588
461,4.05551,2465.78,0.961241,0.535885,0.97802,2465.78,0.761714
460,4.06186,2461.92,0.962079,0.536702,0.978054,2461.92,0.763998
459,4.06824,2458.06,0.963257,0.534197,0.978086,2458.06,0.760829
458,4.07464,2454.21,0.961091,0.53573,0.978118,2454.21,0.759101
457,4.08105,2450.35,0.96244,0.535156,0.978149,2450.35,0.765368
456,4.08749,2446.49,0.96412,0.538425,0.978178,2446.49,0.7689
455,4.09395,2442.63,0.963321,0.542607,0.978207,2442.63,0.76858
454,4.10042,2438.77,0.961566,0.541759,0.978236,2438.77,0.774771
453,4.10692,2434.91,0.962796,0.542562,0.978265,2434.91,0.777808
452,4.11344,2431.05,0.959923,0.541489,0.978294,2431.05,0.784528
451,4.11998,2427.19,0.963167,0.547437,0.978323,2427.19,0.786694
450,4.12654,2423.34,0.962456,0.545374,0.97835,2423.34,0.78862
449,4.13312,2419.48,0.960087,0.550437,0.978376,2419.48,0.794863
448,4.13973,2415.62,0.960699,0.550044,0.978403,2415.62,0.800921
447,4.14635,2411.76,0.96037,0.549633,0.978433,2411.76,0.805073
446,4.15299,2407.9,0.960089,0.547887,0.978463,2407.9,0.805451
445,4.15966,2404.04,0.959882,0.545578,0.978492,2404.04,0.806033
444,4.16635,2400.18,0.958789,0.550892,0.978519,2400.18,0.812513
443,4.17306,2396.32,0.957581,0.546539,0.978546,2396.32,0.811094
442,4.17979,2392.46,0.961336,0.545024,0.978573,2392.46,0.808808
441,4.18654,2388.61,0.961834,0.548148,0.978604,2388.61,0.813588
440,4.19331,2384.75,0.964325,0.544867,0.978634,2384.75,0.811864
439,4.20011,2380.89,0.963446,0.539441,0.978664,2380.89,0.813713
438,4.20693,2377.03,0.962072,0.536875,0.978691,2377.03,0.811537
437,4.21377,2373.17,0.957386,0.53609,0.978719,2373.17,0.804218
