x1,x2,y_sndpgaz1
14.5588,686.869,0.981849
14.4775,690.728,0.984235
14.397,694.587,0.982283
14.3175,698.446,0.986385
14.2388,702.305,0.981076
14.161,706.164,0.988489
14.0841,710.022,0.985176
14.0079,713.881,0.982565
13.9326,717.74,0.986147
13.8581,721.599,0.978865
13.7844,725.458,0.980885
13.7115,729.316,0.979793
13.6393,733.175,0.979717
13.5679,737.034,0.977132
13.4972,740.893,0.972823
13.4273,744.752,0.969551
13.3581,748.611,0.972335
13.2896,752.469,0.968567
13.2218,756.328,0.959679
13.1546,760.187,0.954162
13.0882,764.046,0.951206
13.0224,767.905,0.949052
12.9573,771.763,0.94468
12.8929,775.622,0.940332
12.829,779.481,0.939739
12.7658,783.34,0.947112
12.7033,787.199,0.95319
12.6413,791.058,0.955364
12.5799,794.916,0.954565
12.5192,798.775,0.959671
12.459,802.634,0.967423
12.3994,806.493,0.981517
12.3403,810.352,0.993623
12.2818,814.21,0.988422
12.2239,818.069,0.988638
12.1665,821.928,0.981257
12.1097,825.787,0.981744
12.0533,829.646,0.982151
11.9975,833.505,0.98176
11.9422,837.363,0.97726
11.8875,841.222,0.978918
11.8332,845.081,0.975858
11.7794,848.94,0.97105
11.7261,852.799,0.972995
11.6733,856.657,0.972056
11.6209,860.516,0.971902
11.569,864.375,0.971611
11.5176,868.234,0.968749
11.4667,872.093,0.968903
11.4161,875.952,0.967682
11.3661,879.81,0.967399
11.3164,883.669,0.964056
11.2672,887.528,0.964253
11.2185,891.387,0.966578
11.1701,895.246,0.965713
11.1222,899.104,0.963583
11.0746,902.963,0.964708
11.0275,906.822,0.963452
10.9808,910.681,0.961172
10.9345,914.54,0.959077
10.8885,918.399,0.957789
10.8429,922.257,0.961378
10.7978,926.116,0.961485
10.753,929.975,0.958823
10.7085,933.834,0.959404
10.6645,937.693,0.956222
10.6208,941.551,0.955813
10.5774,945.41,0.957449
10.5344,949.269,0.953026
10.4918,953.128,0.949849
10.4495,956.987,0.949756
10.4075,960.846,0.946621
10.3659,964.704,0.94646
