x1,x2,y_oakface,y_clybrkcm,y_distd_wn,y_oakface,y_oakface,y_sndpgaz1
3.33522,2998.3,0.972906,0.616606,,0.973462,,0.840829
3.33952,2994.44,0.969277,0.624745,,0.974855,,0.840267
3.34383,2990.58,0.973086,0.628873,,0.975169,,0.845934
3.34815,2986.72,0.972659,0.627793,,0.974131,,0.840304
3.35248,2982.86,0.972688,0.624667,,0.975639,,0.837362
3.35682,2979.0,0.972608,0.615581,,0.972621,,0.839593
3.36118,2975.15,0.97303,0.627033,,0.973456,,0.840366
3.36554,2971.29,0.972172,0.621763,,0.973051,,0.832018
3.36992,2967.43,0.975593,0.618593,,0.97368,,0.836486
3.37431,2963.57,0.975956,0.623152,,0.972855,,0.836226
3.37871,2959.71,0.97539,0.623884,,0.972774,,0.83242
3.38312,2955.85,0.970869,0.610956,,0.971533,,0.825449
3.38754,2951.99,0.968529,0.618019,,0.974574,,0.82218
3.39197,2948.13,0.973836,0.60868,,0.97245,,0.815365
3.39642,2944.28,0.974037,0.613218,,0.972386,,0.817454
3.40088,2940.42,0.970301,0.616015,,0.971772,,0.819402
3.40535,2936.56,0.973216,0.614052,,0.973089,,0.812176
3.40983,2932.7,0.968711,0.619737,,0.973007,,0.821615
3.41432,2928.84,0.969425,0.620779,,0.974443,,0.816339
3.41882,2924.98,0.966722,0.62865,,0.973797,,0.817195
3.42334,2921.12,0.963688,0.623483,,0.973485,,0.814606
3.42787,2917.26,0.95146,0.609323,,0.972467,,0.810631
3.43241,2913.4,0.949487,0.616087,,0.973287,,0.813306
3.43696,2909.55,0.951861,0.606404,,0.972859,,0.804021
3.44152,2905.69,0.955995,0.59895,,0.972507,,0.794323
3.4461,2901.83,0.957925,0.59566,,0.972709,,0.790939
3.45069,2897.97,0.962051,0.582732,,0.973772,,0.786373
3.45529,2894.11,0.96212,0.586782,,0.972811,,0.782751
3.4599,2890.25,0.960037,0.587143,,0.973585,,0.785643
3.46453,2886.39,0.964687,0.581174,,0.971984,,0.783458
3.46917,2882.53,0.963074,0.579363,,0.971336,,0.779839
3.47382,2878.68,0.966577,0.579996,,0.972397,,0.782372
3.47848,2874.82,0.968868,0.576247,,0.972732,,0.772708
3.48316,2870.96,0.967292,0.578173,,0.97264,,0.769852
3.48784,2867.1,0.967695,0.57508,,0.973268,,0.764099
3.49254,2863.24,0.967737,0.570992,,0.973608,,0.766957
3.49726,2859.38,0.965514,0.578028,,0.972599,,0.767423
3.50198,2855.52,0.969908,0.583157,,0.973077,,0.766853
3.50672,2851.66,0.961947,0.573124,,0.97371,,0.76203
3.51147,2847.8,0.958326,0.569193,,0.973285,,0.755152
3.51624,2843.95,0.958578,0.570039,,0.973886,,0.755879
3.52102,2840.09,0.960361,0.556949,,0.973044,,0.742146
3.52581,2836.23,0.956549,0.550391,,0.972463,,0.740284
3.53061,2832.37,0.959184,0.551007,,0.973912,,0.739103
3.53543,2828.51,0.961565,0.545205,,0.972207,,0.730993
3.54026,2824.65,0.963088,0.545846,,0.971471,,0.727364
3.5451,2820.79,0.964366,0.537824,,0.971999,,0.728097
3.54996,2816.93,0.962679,0.54261,,0.971442,,0.724261
3.55483,2813.08,0.965653,0.535084,,0.971349,,0.72819
3.55971,2809.22,0.964721,0.537837,,0.971828,,0.723236
3.56461,2805.36,0.965003,0.540164,,0.971932,,0.722114
3.56952,2801.5,0.964335,0.536598,,0.971775,,0.719109
3.57444,2797.64,0.9648,0.538106,,0.971999,,0.726136
3.57938,2793.78,0.964189,0.543153,,0.969844,,0.727536
3.58433,2789.92,0.963986,0.54674,,0.971442,,0.723602
