x1,x2,y_oakface
14.5588,686.869,0.973462
14.4775,690.728,0.974855
14.397,694.587,0.975169
14.3175,698.445,0.974131
14.2388,702.304,0.975639
14.161,706.163,0.972621
14.0841,710.022,0.973456
14.0079,713.881,0.973051
13.9326,717.739,0.97368
13.8581,721.598,0.972855
13.7844,725.457,0.972774
13.7115,729.316,0.971533
13.6393,733.175,0.974574
13.5679,737.033,0.97245
13.4972,740.892,0.972386
13.4273,744.751,0.971772
13.3581,748.61,0.973089
13.2896,752.469,0.973007
13.2218,756.328,0.974443
13.1547,760.186,0.973797
13.0882,764.045,0.973485
13.0224,767.904,0.972467
12.9573,771.763,0.973287
12.8929,775.622,0.972859
12.829,779.48,0.972507
12.7658,783.339,0.972709
12.7033,787.198,0.973772
12.6413,791.057,0.972811
12.5799,794.916,0.973585
12.5192,798.775,0.971984
12.459,802.633,0.971336
12.3994,806.492,0.972397
12.3403,810.351,0.972732
12.2818,814.21,0.97264
12.2239,818.069,0.973268
12.1665,821.927,0.973608
12.1097,825.786,0.972599
12.0533,829.645,0.973077
11.9975,833.504,0.97371
11.9422,837.363,0.973285
11.8875,841.222,0.973886
11.8332,845.08,0.973044
11.7794,848.939,0.972463
11.7261,852.798,0.973912
11.6733,856.657,0.972207
11.6209,860.516,0.971471
11.569,864.374,0.971999
11.5176,868.233,0.971442
11.4667,872.092,0.971349
11.4162,875.951,0.971828
11.3661,879.81,0.971932
11.3164,883.669,0.971775
11.2672,887.527,0.971999
11.2185,891.386,0.969844
11.1701,895.245,0.971442
11.1222,899.104,0.971239
11.0746,902.963,0.970062
11.0275,906.821,0.97112
10.9808,910.68,0.97105
10.9345,914.539,0.970254
10.8885,918.398,0.969793
10.843,922.257,0.969712
10.7978,926.115,0.969914
10.753,929.974,0.969599
10.7085,933.833,0.968712
10.6645,937.692,0.969534
10.6208,941.551,0.969483
10.5774,945.41,0.9693
10.5344,949.268,0.969541
10.4918,953.127,0.969977
10.4495,956.986,0.968599
10.4075,960.845,0.96931
10.3659,964.704,0.968906
10.3246,968.562,0.969784
10.2836,972.421,0.969261
10.243,976.28,0.968458
10.2026,980.139,0.968762
10.1626,983.998,0.968923
10.1229,987.857,0.969553
10.0835,991.715,0.969181
10.0444,995.574,0.969215
10.0057,999.433,0.968534
9.96719,1003.29,0.967863
9.929,1007.15,0.967902
9.8911,1011.01,0.967668
9.85349,1014.87,0.967595
9.81617,1018.73,0.968954
9.77913,1022.58,0.968536
9.74236,1026.44,0.968123
9.70588,1030.3,0.968188
9.66966,1034.16,0.968544
9.63371,1038.02,0.968471
9.59803,1041.88,0.968511
9.56262,1045.74,0.96836
9.52746,1049.6,0.969839
9.49256,1053.46,0.969632
9.45792,1057.31,0.969099
9.42352,1061.17,0.968257
9.38938,1065.03,0.969471
9.35548,1068.89,0.969257
9.32183,1072.75,0.969147
9.28842,1076.61,0.967822
9.25525,1080.47,0.969736
9.22231,1084.33,0.96842
9.18961,1088.18,0.970374
9.15713,1092.04,0.969436
9.12489,1095.9,0.968964
9.09287,1099.76,0.97054
9.06108,1103.62,0.970803
9.02951,1107.48,0.971794
8.99816,1111.34,0.969176
8.96702,1115.2,0.970435
8.9361,1119.06,0.969835
8.90539,1122.91,0.970427
8.87489,1126.77,0.970601
8.8446,1130.63,0.970455
8.81452,1134.49,0.9704
8.78464,1138.35,0.969276
8.75496,1142.21,0.970112
8.72548,1146.07,0.970027
8.6962,1149.93,0.970134
8.66712,1153.78,0.969754
8.63823,1157.64,0.970681
8.60953,1161.5,0.970657
8.58102,1165.36,0.971145
8.5527,1169.22,0.970899
8.52457,1173.08,0.972443
8.49662,1176.94,0.971583
8.46885,1180.8,0.97179
8.44127,1184.66,0.974357
8.41386,1188.51,0.973811
8.38663,1192.37,0.975482
8.35958,1196.23,0.974236
8.3327,1200.09,0.975226
8.30599,1203.95,0.973934
8.27945,1207.81,0.97553
8.25309,1211.67,0.97508
8.22688,1215.53,0.97599
8.20085,1219.38,0.975455
8.17498,1223.24,0.975776
8.14927,1227.1,0.976409
8.12373,1230.96,0.976588
8.09834,1234.82,0.977328
8.07311,1238.68,0.977109
8.04804,1242.54,0.977911
8.02312,1246.4,0.977183
7.99836,1250.26,0.977644
7.97375,1254.11,0.977224
7.94929,1257.97,0.9778
7.92498,1261.83,0.977431
7.90082,1265.69,0.978464
7.8768,1269.55,0.977308
7.85294,1273.41,0.978175
7.82921,1277.27,0.978299
7.80563,1281.13,0.978009
7.78219,1284.98,0.976215
7.75889,1288.84,0.976841
